Code,Description,Quanitity,Minimum Quantity,Status,Quanitity Last Updated
339TAPE,339 Foil Black Tape ea. (16 per case),,100,,
555TAPE,"FlexFix ea. (1141184, 36 per case)",,50,,
557TAPE,UL 181 Duct Tape,,100,,
AD0606,Access Door 6 x 6,,10,,
AD0808,Access Door 8 x 8,,10,,
AD1010,Access Door 10 x 10,,10,,
AD1212,Access Door 12 x 12,,10,,
AD1414,Access Door 14 x 14,,10,,
AD1616,Access Door 16 x 16,,10,,
AD1818,Access Door 18 x 18,,10,,
AD8408,"8"" x 4"" Access Door for 8"" Round",,0,,
AD8416,"8"" x 4"" Access Door for 16"" Round",,0,,
AD8424,"8"" x 4"" Access Door for 24"" Round",,0,,
AE0490,4' 90 Degree Adjustable Elbow S,,60,,
AE0590,5' 90 Degree Adjustable Elbow S,,0,,
AE0690,6' 90 Degree Adjustable Elbow S,,60,,
AE0790,7' 90 Degree Adjustable Elbow S,,0,,
AE0890,8' 90 Degree Adjustable Elbow S,,60,,
AE0990,9' 90 Degree Adjustable Elbow,,0,,
AE1090,10' 90 Degree Adjustable Elbow,,60,,
AE1290,12' 90 Degree Adjustable Elbow,,50,,
AE1490,14' 90 Degree Adjustable Elbow,,24,,
AE1690,16' 90 Degree Adjustable Elbow,,24,,
AE1890,18'' 90 Deg Adjustable elbow,,24,,
AE2090,20'' 90 Deg Adjustable Elbow,,12,,
AE2290,22'' 90 Deg Adjustable Elbow,,12,,
AFD10,"10"" Aluminum flex duct (ea) 8'",,0,,
ANGLE112,16ga Angle 1-1/2 x 1-1/2 x 10',,200,,
AS03248120,Aluminum Sheet .032 48 x 120 (ea),,0,,
AS04048120,Aluminum Sheet .040 48 x 120,,0,,
AS06348120,Aluminum Sheet .063 48 x 120,,0,,
BUTYL,Butyl Gasket x 25 ft roll,,400,,
CLEATTOOL,Cleat Installation Tool,,0,,
CNRCRIMPER,Corner Tool,,0,,
CONDUIT12,1/2' Conduit (ft),,500,,
CONDULOCKS,"1/2' Stud-Lock (ea) 1,000/bx",,1000,,
CONDUPLUG12,1/2' Conduit Plug,,0,,
CRS1660120,Cold Rolled Sheet 16g 60 x 120 (ea),,0,,
DB1,1' Duct Board (sht) 44 sht/box ea,,0,,
